三里河三区 精装大两居 看房随时 带车位 诚心出租	8000	13	三里河三区  2室1厅  66平米  南 北
保利西山林语南北通透2居室，96.84平，有钥匙随时看	5300	23	保利西山林语  2室1厅  96平米  南 北
中铁国际城精装三居室 南北通透 超大客厅 看房方便！	10000	35	中国铁建国际城  3室1厅  117平米  南 北
三里河一区2号院 中等装修两居室 发改委宿舍	10000	40	三里河一区2号院  2室1厅  71平米  东南
发改委家属楼，近金融街和各大部委，朝南精装一居室	7300	19	三里河一区2号院  1室1厅  56平米  南
梅园三居 地铁16号线马连洼站  可合租	6000	8	梅园  3室1厅  85平米  南 北
华发颐园  南北三居 地铁5号线立水桥南站	12800	17	华发颐园  3室2厅  153平米  南 北
北苑 山水蓝维南北三居室空房 6层板楼 带地下室	11500	15	山水蓝维  3室2厅  145平米  南 北
华发颐园 西向开间 统一装修 采光好 视野佳	5000	37	华发颐园  1室0厅  61平米  西
精装修3居室+近财政部+近木樨地地铁	14000	31	三里河二区B区  3室1厅  84平米  西
复兴门外大街+双南两居室+木樨地地铁+业主诚租	7500	5	复兴门外大街  2室1厅  56平米  南
康静里南北通透两居室自住装修拎包入住看房方便	4000	23	康静里  2室1厅  59平米  南 北
98年 单独管理 24小时门卫 楼道无广告	7200	33	社科院  3室1厅  74平米  西南
可短租 西向大一居室 楼层高  免中介费 看房有钥匙	7000	21	后现代城  1室1厅  74平米  西
小关北里 双朝南两居室 距离地铁300米	5800	19	小关北里  2室1厅  49平米  南
力鸿花园精装修两居室 看房方便 随时起租	8500	21	力鸿花园  2室1厅  90平米  西
新街坊 1室1厅 5200元	5200	28	新街坊  1室1厅  57平米  东
好房推荐：南北通透 小区中间位置不临街 前后观花园	22000	12	富力城D区  3室2厅  170平米  南 北
南北通透精装修双卫三居室家具家电齐全邻四环	12500	20	东润枫景二期  3室1厅  150平米  南 北
索家坟东西通透 精装修 正规2居 家电家具可配齐	6800	17	索家坟  2室1厅  58平米  东 西
东南向 无遮挡 大2居  户型方正 看房方便	6800	18	西豪逸景  2室1厅  78平米  东南
太阳公元92平米三居室 明厨明卫 稳定出租	15000	22	太阳公元  3室1厅  91平米  南
新景家园东区 2室1厅 8400元	8400	21	新景家园东区  2室1厅  76平米  南 北
大井东里南北通透两居室，装修好，看房方便，地铁14号	5200	15	大井东里  2室1厅  56平米  南 北
豆瓣胡同  干净二居室 平层电梯 看房方便	8300	21	豆瓣胡同  2室1厅  71平米  东
十里河 弘善家园 精装开间 随时看房随时入住	4600	32	弘善家园  1室0厅  41平米  南
短租半年2居室，芍药居14号院，低楼层，南北通透	4500	21	芍药居14号院  2室1厅  59平米  南 北
安慧里二区  整租两居 朝南带阳台	6100	13	安慧里二区  2室1厅  62平米  西南
天和人家两居室采光棒，格局好，全朝南。	8500	15	天和人家  2室1厅  108平米  南
华远铭悦园 正规两居室 拎包即住	3900	16	华远铭悦  2室1厅  80平米  南 北